CaseMasterID,PlaceOfOccurance,OccuranceFrom,OccuranceTo
277,"Old Town, Dakshina Kannada",2025-07-19T00:00:00.000Z,2025-07-20T00:00:00.000Z
278,"Market Rd, Shivamogga",2026-02-12T00:00:00.000Z,2026-02-13T00:00:00.000Z
279,"Bus Stand, Mysuru",2026-05-21T00:00:00.000Z,2026-05-22T00:00:00.000Z
280,"Old Town, Mandya",2025-11-18T00:00:00.000Z,2025-11-19T00:00:00.000Z
281,"Market Rd, Tumakuru",2026-01-16T00:00:00.000Z,2026-01-17T00:00:00.000Z
282,"NH-Bypass, Vijayapura",2026-05-06T00:00:00.000Z,2026-05-07T00:00:00.000Z
283,"Layout, Vijayapura",2026-06-15T00:00:00.000Z,2026-06-16T00:00:00.000Z
284,"Layout, Bengaluru Urban",2025-02-19T00:00:00.000Z,2025-02-20T00:00:00.000Z
285,"Layout, Mysuru",2025-06-02T00:00:00.000Z,2025-06-03T00:00:00.000Z
286,"Old Town, Udupi",2025-05-17T00:00:00.000Z,2025-05-18T00:00:00.000Z
287,"NH-Bypass, Mandya",2025-02-08T00:00:00.000Z,2025-02-09T00:00:00.000Z
288,"Old Town, Vijayapura",2026-05-08T00:00:00.000Z,2026-05-09T00:00:00.000Z
289,"Old Town, Hubballi-Dharwad",2025-03-02T00:00:00.000Z,2025-03-03T00:00:00.000Z
290,"Layout, Bengaluru Urban",2025-12-14T00:00:00.000Z,2025-12-15T00:00:00.000Z
291,"NH-Bypass, Udupi",2026-01-21T00:00:00.000Z,2026-01-22T00:00:00.000Z
292,"Market Rd, Bengaluru Urban",2026-04-23T00:00:00.000Z,2026-04-24T00:00:00.000Z
293,"Layout, Bengaluru Urban",2025-12-11T00:00:00.000Z,2025-12-12T00:00:00.000Z
294,"Layout, Belagavi",2026-03-26T00:00:00.000Z,2026-03-27T00:00:00.000Z
295,"Bus Stand, Tumakuru",2026-07-01T00:00:00.000Z,2026-07-02T00:00:00.000Z
296,"Market Rd, Mysuru",2026-05-23T00:00:00.000Z,2026-05-24T00:00:00.000Z
297,"Layout, Kalaburagi",2025-06-06T00:00:00.000Z,2025-06-07T00:00:00.000Z
298,"NH-Bypass, Mandya",2026-05-24T00:00:00.000Z,2026-05-25T00:00:00.000Z
299,"Bus Stand, Kalaburagi",2026-04-20T00:00:00.000Z,2026-04-21T00:00:00.000Z
300,"Old Town, Ballari",2025-10-23T00:00:00.000Z,2025-10-24T00:00:00.000Z
301,"Bus Stand, Ballari",2025-11-29T00:00:00.000Z,2025-11-30T00:00:00.000Z
302,"NH-Bypass, Vijayapura",2026-07-13T00:00:00.000Z,2026-07-14T00:00:00.000Z
303,"Layout, Belagavi",2026-02-25T00:00:00.000Z,2026-02-26T00:00:00.000Z
304,"Market Rd, Vijayapura",2026-04-03T00:00:00.000Z,2026-04-04T00:00:00.000Z
305,"Layout, Belagavi",2026-05-24T00:00:00.000Z,2026-05-25T00:00:00.000Z
306,"Old Town, Hubballi-Dharwad",2025-07-20T00:00:00.000Z,2025-07-21T00:00:00.000Z
307,"Old Town, Belagavi",2026-07-13T00:00:00.000Z,2026-07-14T00:00:00.000Z
308,"NH-Bypass, Udupi",2026-05-16T00:00:00.000Z,2026-05-17T00:00:00.000Z
309,"Market Rd, Tumakuru",2026-06-01T00:00:00.000Z,2026-06-02T00:00:00.000Z
310,"Layout, Udupi",2025-12-07T00:00:00.000Z,2025-12-08T00:00:00.000Z
311,"Old Town, Hubballi-Dharwad",2025-06-09T00:00:00.000Z,2025-06-10T00:00:00.000Z
312,"NH-Bypass, Hubballi-Dharwad",2025-03-15T00:00:00.000Z,2025-03-16T00:00:00.000Z
313,"Layout, Bengaluru Urban",2025-06-16T00:00:00.000Z,2025-06-17T00:00:00.000Z
314,"Layout, Tumakuru",2025-06-22T00:00:00.000Z,2025-06-23T00:00:00.000Z
315,"Market Rd, Bengaluru Urban",2026-02-22T00:00:00.000Z,2026-02-23T00:00:00.000Z
316,"Market Rd, Udupi",2025-09-14T00:00:00.000Z,2025-09-15T00:00:00.000Z
317,"Layout, Mysuru",2026-02-03T00:00:00.000Z,2026-02-04T00:00:00.000Z
318,"Layout, Mandya",2026-01-22T00:00:00.000Z,2026-01-23T00:00:00.000Z
319,"Bus Stand, Bengaluru Urban",2025-08-31T00:00:00.000Z,2025-09-01T00:00:00.000Z
320,"Bus Stand, Vijayapura",2026-03-04T00:00:00.000Z,2026-03-05T00:00:00.000Z
321,"Old Town, Hubballi-Dharwad",2026-02-16T00:00:00.000Z,2026-02-17T00:00:00.000Z
322,"Layout, Dakshina Kannada",2026-02-04T00:00:00.000Z,2026-02-05T00:00:00.000Z
323,"Bus Stand, Mandya",2025-09-11T00:00:00.000Z,2025-09-12T00:00:00.000Z
324,"Bus Stand, Vijayapura",2026-03-13T00:00:00.000Z,2026-03-14T00:00:00.000Z
325,"Market Rd, Ballari",2026-06-10T00:00:00.000Z,2026-06-11T00:00:00.000Z
326,"Bus Stand, Udupi",2025-12-12T00:00:00.000Z,2025-12-13T00:00:00.000Z
327,"Bus Stand, Kalaburagi",2026-06-21T00:00:00.000Z,2026-06-22T00:00:00.000Z
328,"Bus Stand, Mysuru",2026-05-29T00:00:00.000Z,2026-05-30T00:00:00.000Z
329,"Layout, Hubballi-Dharwad",2026-03-25T00:00:00.000Z,2026-03-26T00:00:00.000Z
330,"Bus Stand, Ballari",2025-05-03T00:00:00.000Z,2025-05-04T00:00:00.000Z
331,"NH-Bypass, Ballari",2026-03-28T00:00:00.000Z,2026-03-29T00:00:00.000Z
332,"NH-Bypass, Mysuru",2026-05-27T00:00:00.000Z,2026-05-28T00:00:00.000Z
333,"NH-Bypass, Bengaluru Urban",2026-05-27T00:00:00.000Z,2026-05-28T00:00:00.000Z
334,"NH-Bypass, Tumakuru",2026-04-03T00:00:00.000Z,2026-04-04T00:00:00.000Z
335,"NH-Bypass, Belagavi",2025-09-24T00:00:00.000Z,2025-09-25T00:00:00.000Z
336,"NH-Bypass, Tumakuru",2026-06-09T00:00:00.000Z,2026-06-10T00:00:00.000Z
337,"Old Town, Vijayapura",2026-04-01T00:00:00.000Z,2026-04-02T00:00:00.000Z
338,"Bus Stand, Mandya",2025-11-25T00:00:00.000Z,2025-11-26T00:00:00.000Z
339,"Bus Stand, Dakshina Kannada",2026-06-15T00:00:00.000Z,2026-06-16T00:00:00.000Z
340,"Market Rd, Mysuru",2025-05-07T00:00:00.000Z,2025-05-08T00:00:00.000Z
341,"NH-Bypass, Vijayapura",2026-04-20T00:00:00.000Z,2026-04-21T00:00:00.000Z
342,"Bus Stand, Dakshina Kannada",2025-10-19T00:00:00.000Z,2025-10-20T00:00:00.000Z
343,"NH-Bypass, Kalaburagi",2025-07-06T00:00:00.000Z,2025-07-07T00:00:00.000Z
344,"Market Rd, Kalaburagi",2026-04-24T00:00:00.000Z,2026-04-25T00:00:00.000Z
345,"NH-Bypass, Tumakuru",2025-08-01T00:00:00.000Z,2025-08-02T00:00:00.000Z
346,"Market Rd, Kalaburagi",2026-01-11T00:00:00.000Z,2026-01-12T00:00:00.000Z
347,"Market Rd, Udupi",2025-03-18T00:00:00.000Z,2025-03-19T00:00:00.000Z
348,"Old Town, Belagavi",2026-04-12T00:00:00.000Z,2026-04-13T00:00:00.000Z
349,"NH-Bypass, Hubballi-Dharwad",2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z
350,"Bus Stand, Mandya",2025-05-11T00:00:00.000Z,2025-05-12T00:00:00.000Z
351,"Old Town, Hubballi-Dharwad",2026-04-07T00:00:00.000Z,2026-04-08T00:00:00.000Z
352,"Old Town, Shivamogga",2026-06-07T00:00:00.000Z,2026-06-08T00:00:00.000Z
353,"Bus Stand, Vijayapura",2025-04-21T00:00:00.000Z,2025-04-22T00:00:00.000Z
354,"Old Town, Bengaluru Urban",2025-11-27T00:00:00.000Z,2025-11-28T00:00:00.000Z
355,"Old Town, Tumakuru",2026-02-05T00:00:00.000Z,2026-02-06T00:00:00.000Z
356,"Layout, Mandya",2026-06-06T00:00:00.000Z,2026-06-07T00:00:00.000Z
357,"NH-Bypass, Shivamogga",2025-03-24T00:00:00.000Z,2025-03-25T00:00:00.000Z
358,"NH-Bypass, Mysuru",2025-09-19T00:00:00.000Z,2025-09-20T00:00:00.000Z
359,"Layout, Udupi",2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z
360,"Bus Stand, Hubballi-Dharwad",2026-03-05T00:00:00.000Z,2026-03-06T00:00:00.000Z
361,"NH-Bypass, Belagavi",2026-05-12T00:00:00.000Z,2026-05-13T00:00:00.000Z
362,"Bus Stand, Vijayapura",2025-02-13T00:00:00.000Z,2025-02-14T00:00:00.000Z
363,"Old Town, Tumakuru",2026-06-02T00:00:00.000Z,2026-06-03T00:00:00.000Z
364,"NH-Bypass, Mandya",2026-06-03T00:00:00.000Z,2026-06-04T00:00:00.000Z
365,"Layout, Vijayapura",2025-07-04T00:00:00.000Z,2025-07-05T00:00:00.000Z
366,"Old Town, Bengaluru Urban",2025-02-04T00:00:00.000Z,2025-02-05T00:00:00.000Z
367,"Layout, Dakshina Kannada",2025-05-31T00:00:00.000Z,2025-06-01T00:00:00.000Z
368,"Layout, Ballari",2025-11-06T00:00:00.000Z,2025-11-07T00:00:00.000Z
369,"Layout, Mysuru",2026-02-18T00:00:00.000Z,2026-02-19T00:00:00.000Z
370,"Market Rd, Udupi",2026-04-24T00:00:00.000Z,2026-04-25T00:00:00.000Z
371,"Old Town, Dakshina Kannada",2025-02-13T00:00:00.000Z,2025-02-14T00:00:00.000Z
372,"Market Rd, Belagavi",2025-05-25T00:00:00.000Z,2025-05-26T00:00:00.000Z
373,"NH-Bypass, Udupi",2026-02-24T00:00:00.000Z,2026-02-25T00:00:00.000Z
374,"Bus Stand, Mandya",2026-07-01T00:00:00.000Z,2026-07-02T00:00:00.000Z
375,"NH-Bypass, Udupi",2026-04-09T00:00:00.000Z,2026-04-10T00:00:00.000Z
376,"Layout, Tumakuru",2025-10-17T00:00:00.000Z,2025-10-18T00:00:00.000Z
377,"Layout, Hubballi-Dharwad",2026-02-19T00:00:00.000Z,2026-02-20T00:00:00.000Z
378,"Old Town, Mandya",2025-06-19T00:00:00.000Z,2025-06-20T00:00:00.000Z
379,"Market Rd, Mandya",2026-02-27T00:00:00.000Z,2026-02-28T00:00:00.000Z
380,"Bus Stand, Bengaluru Urban",2025-07-09T00:00:00.000Z,2025-07-10T00:00:00.000Z
381,"Bus Stand, Dakshina Kannada",2026-02-25T00:00:00.000Z,2026-02-26T00:00:00.000Z
382,"NH-Bypass, Tumakuru",2026-05-26T00:00:00.000Z,2026-05-27T00:00:00.000Z
383,"Layout, Vijayapura",2026-05-14T00:00:00.000Z,2026-05-15T00:00:00.000Z
384,"Layout, Mysuru",2026-03-26T00:00:00.000Z,2026-03-27T00:00:00.000Z
385,"Market Rd, Ballari",2025-05-09T00:00:00.000Z,2025-05-10T00:00:00.000Z
386,"Bus Stand, Dakshina Kannada",2026-01-18T00:00:00.000Z,2026-01-19T00:00:00.000Z
387,"Layout, Ballari",2026-04-14T00:00:00.000Z,2026-04-15T00:00:00.000Z
388,"NH-Bypass, Bengaluru Urban",2026-05-25T00:00:00.000Z,2026-05-26T00:00:00.000Z
389,"Old Town, Vijayapura",2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z
390,"Market Rd, Mysuru",2026-04-14T00:00:00.000Z,2026-04-15T00:00:00.000Z
391,"Layout, Mandya",2026-07-13T00:00:00.000Z,2026-07-14T00:00:00.000Z
392,"Market Rd, Kalaburagi",2026-01-14T00:00:00.000Z,2026-01-15T00:00:00.000Z
393,"Market Rd, Shivamogga",2025-07-10T00:00:00.000Z,2025-07-11T00:00:00.000Z
394,"Market Rd, Kalaburagi",2025-08-16T00:00:00.000Z,2025-08-17T00:00:00.000Z
395,"Old Town, Tumakuru",2026-06-02T00:00:00.000Z,2026-06-03T00:00:00.000Z
396,"Layout, Mysuru",2026-07-14T00:00:00.000Z,2026-07-15T00:00:00.000Z
397,"Bus Stand, Tumakuru",2026-06-21T00:00:00.000Z,2026-06-22T00:00:00.000Z
398,"NH-Bypass, Shivamogga",2026-05-19T00:00:00.000Z,2026-05-20T00:00:00.000Z
399,"NH-Bypass, Mandya",2025-03-07T00:00:00.000Z,2025-03-08T00:00:00.000Z
400,"Layout, Tumakuru",2025-02-08T00:00:00.000Z,2025-02-09T00:00:00.000Z
401,"Bus Stand, Bengaluru Urban",2026-07-11T00:00:00.000Z,2026-07-12T00:00:00.000Z
402,"Bus Stand, Bengaluru Urban",2025-10-14T00:00:00.000Z,2025-10-15T00:00:00.000Z
403,"Layout, Udupi",2026-05-21T00:00:00.000Z,2026-05-22T00:00:00.000Z
404,"Market Rd, Hubballi-Dharwad",2026-02-17T00:00:00.000Z,2026-02-18T00:00:00.000Z
405,"Bus Stand, Shivamogga",2026-06-05T00:00:00.000Z,2026-06-06T00:00:00.000Z
406,"Market Rd, Tumakuru",2026-03-05T00:00:00.000Z,2026-03-06T00:00:00.000Z
407,"Layout, Belagavi",2026-05-28T00:00:00.000Z,2026-05-29T00:00:00.000Z
408,"NH-Bypass, Ballari",2026-03-21T00:00:00.000Z,2026-03-22T00:00:00.000Z
409,"Old Town, Bengaluru Urban",2025-11-06T00:00:00.000Z,2025-11-07T00:00:00.000Z
410,"Market Rd, Mysuru",2025-05-01T00:00:00.000Z,2025-05-02T00:00:00.000Z
411,"Layout, Udupi",2026-01-26T00:00:00.000Z,2026-01-27T00:00:00.000Z
412,"Layout, Dakshina Kannada",2026-03-21T00:00:00.000Z,2026-03-22T00:00:00.000Z
413,"Market Rd, Mandya",2026-03-04T00:00:00.000Z,2026-03-05T00:00:00.000Z
414,"Layout, Tumakuru",2026-02-13T00:00:00.000Z,2026-02-14T00:00:00.000Z
415,"Market Rd, Tumakuru",2026-06-08T00:00:00.000Z,2026-06-09T00:00:00.000Z
416,"NH-Bypass, Kalaburagi",2026-07-08T00:00:00.000Z,2026-07-09T00:00:00.000Z
417,"NH-Bypass, Kalaburagi",2026-03-11T00:00:00.000Z,2026-03-12T00:00:00.000Z
418,"Layout, Ballari",2025-08-03T00:00:00.000Z,2025-08-04T00:00:00.000Z
419,"Bus Stand, Ballari",2025-08-21T00:00:00.000Z,2025-08-22T00:00:00.000Z
420,"Market Rd, Vijayapura",2026-01-02T00:00:00.000Z,2026-01-03T00:00:00.000Z
421,"Market Rd, Shivamogga",2025-03-20T00:00:00.000Z,2025-03-21T00:00:00.000Z
422,"Old Town, Mandya",2025-06-02T00:00:00.000Z,2025-06-03T00:00:00.000Z
423,"Bus Stand, Mandya",2026-05-24T00:00:00.000Z,2026-05-25T00:00:00.000Z
424,"Layout, Ballari",2025-06-20T00:00:00.000Z,2025-06-21T00:00:00.000Z
425,"Market Rd, Mandya",2025-06-05T00:00:00.000Z,2025-06-06T00:00:00.000Z
426,"Bus Stand, Belagavi",2025-08-19T00:00:00.000Z,2025-08-20T00:00:00.000Z
427,"Old Town, Belagavi",2026-01-27T00:00:00.000Z,2026-01-28T00:00:00.000Z
428,"Bus Stand, Dakshina Kannada",2026-01-21T00:00:00.000Z,2026-01-22T00:00:00.000Z
429,"Market Rd, Mandya",2025-09-05T00:00:00.000Z,2025-09-06T00:00:00.000Z
430,"Bus Stand, Hubballi-Dharwad",2026-04-02T00:00:00.000Z,2026-04-03T00:00:00.000Z
431,"Market Rd, Udupi",2026-05-07T00:00:00.000Z,2026-05-08T00:00:00.000Z
432,"Bus Stand, Shivamogga",2025-08-07T00:00:00.000Z,2025-08-08T00:00:00.000Z
433,"NH-Bypass, Mysuru",2025-06-12T00:00:00.000Z,2025-06-13T00:00:00.000Z
434,"Layout, Tumakuru",2025-09-15T00:00:00.000Z,2025-09-16T00:00:00.000Z
435,"Layout, Kalaburagi",2026-03-20T00:00:00.000Z,2026-03-21T00:00:00.000Z
436,"Layout, Ballari",2025-02-20T00:00:00.000Z,2025-02-21T00:00:00.000Z
437,"NH-Bypass, Udupi",2025-09-16T00:00:00.000Z,2025-09-17T00:00:00.000Z
438,"Market Rd, Mysuru",2026-05-27T00:00:00.000Z,2026-05-28T00:00:00.000Z
439,"Old Town, Tumakuru",2025-03-10T00:00:00.000Z,2025-03-11T00:00:00.000Z
440,"Old Town, Hubballi-Dharwad",2026-04-29T00:00:00.000Z,2026-04-30T00:00:00.000Z
441,"Old Town, Mysuru",2026-07-01T00:00:00.000Z,2026-07-02T00:00:00.000Z
442,"Bus Stand, Udupi",2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z
443,"Market Rd, Tumakuru",2025-11-24T00:00:00.000Z,2025-11-25T00:00:00.000Z
444,"Layout, Dakshina Kannada",2025-03-10T00:00:00.000Z,2025-03-11T00:00:00.000Z
445,"Layout, Mysuru",2026-03-23T00:00:00.000Z,2026-03-24T00:00:00.000Z
446,"NH-Bypass, Ballari",2025-09-21T00:00:00.000Z,2025-09-22T00:00:00.000Z
447,"Old Town, Kalaburagi",2025-12-02T00:00:00.000Z,2025-12-03T00:00:00.000Z
448,"NH-Bypass, Belagavi",2025-09-09T00:00:00.000Z,2025-09-10T00:00:00.000Z
449,"Layout, Hubballi-Dharwad",2026-05-04T00:00:00.000Z,2026-05-05T00:00:00.000Z
450,"NH-Bypass, Bengaluru Urban",2026-03-18T00:00:00.000Z,2026-03-19T00:00:00.000Z
451,"Old Town, Shivamogga",2025-04-21T00:00:00.000Z,2025-04-22T00:00:00.000Z
452,"NH-Bypass, Kalaburagi",2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z
453,"Layout, Bengaluru Urban",2026-06-29T00:00:00.000Z,2026-06-30T00:00:00.000Z
454,"NH-Bypass, Bengaluru Urban",2025-03-07T00:00:00.000Z,2025-03-08T00:00:00.000Z
455,"NH-Bypass, Mysuru",2025-08-04T00:00:00.000Z,2025-08-05T00:00:00.000Z
456,"Old Town, Hubballi-Dharwad",2025-07-02T00:00:00.000Z,2025-07-03T00:00:00.000Z
457,"NH-Bypass, Kalaburagi",2025-12-30T00:00:00.000Z,2025-12-31T00:00:00.000Z
458,"Layout, Udupi",2026-05-14T00:00:00.000Z,2026-05-15T00:00:00.000Z
459,"NH-Bypass, Mysuru",2025-09-27T00:00:00.000Z,2025-09-28T00:00:00.000Z
460,"Layout, Hubballi-Dharwad",2026-07-05T00:00:00.000Z,2026-07-06T00:00:00.000Z
461,"Bus Stand, Bengaluru Urban",2026-05-09T00:00:00.000Z,2026-05-10T00:00:00.000Z
462,"Layout, Bengaluru Urban",2026-01-18T00:00:00.000Z,2026-01-19T00:00:00.000Z
463,"Bus Stand, Hubballi-Dharwad",2026-07-13T00:00:00.000Z,2026-07-14T00:00:00.000Z
464,"Market Rd, Vijayapura",2026-05-08T00:00:00.000Z,2026-05-09T00:00:00.000Z
465,"Layout, Mandya",2026-06-15T00:00:00.000Z,2026-06-16T00:00:00.000Z
466,"Old Town, Udupi",2026-03-23T00:00:00.000Z,2026-03-24T00:00:00.000Z
467,"Layout, Hubballi-Dharwad",2026-01-16T00:00:00.000Z,2026-01-17T00:00:00.000Z
468,"Market Rd, Udupi",2026-05-27T00:00:00.000Z,2026-05-28T00:00:00.000Z
469,"NH-Bypass, Kalaburagi",2026-01-02T00:00:00.000Z,2026-01-03T00:00:00.000Z
470,"Bus Stand, Ballari",2026-03-01T00:00:00.000Z,2026-03-02T00:00:00.000Z
471,"Market Rd, Hubballi-Dharwad",2025-08-08T00:00:00.000Z,2025-08-09T00:00:00.000Z
472,"Old Town, Shivamogga",2026-05-25T00:00:00.000Z,2026-05-26T00:00:00.000Z
473,"Old Town, Bengaluru Urban",2026-06-02T00:00:00.000Z,2026-06-03T00:00:00.000Z
474,"NH-Bypass, Belagavi",2026-07-04T00:00:00.000Z,2026-07-05T00:00:00.000Z
475,"Old Town, Ballari",2026-01-30T00:00:00.000Z,2026-01-31T00:00:00.000Z
476,"Bus Stand, Ballari",2026-07-14T00:00:00.000Z,2026-07-15T00:00:00.000Z
477,"NH-Bypass, Ballari",2026-03-28T00:00:00.000Z,2026-03-29T00:00:00.000Z
478,"Old Town, Dakshina Kannada",2026-02-08T00:00:00.000Z,2026-02-09T00:00:00.000Z
479,"Old Town, Belagavi",2026-05-31T00:00:00.000Z,2026-06-01T00:00:00.000Z
480,"Bus Stand, Kalaburagi",2026-06-28T00:00:00.000Z,2026-06-29T00:00:00.000Z
481,"Old Town, Bengaluru Urban",2026-06-16T00:00:00.000Z,2026-06-17T00:00:00.000Z
482,"NH-Bypass, Dakshina Kannada",2026-04-11T00:00:00.000Z,2026-04-12T00:00:00.000Z
483,"Old Town, Ballari",2026-04-10T00:00:00.000Z,2026-04-11T00:00:00.000Z
484,"Old Town, Kalaburagi",2026-05-20T00:00:00.000Z,2026-05-21T00:00:00.000Z
485,"Bus Stand, Mandya",2026-03-18T00:00:00.000Z,2026-03-19T00:00:00.000Z
486,"Layout, Kalaburagi",2026-06-12T00:00:00.000Z,2026-06-13T00:00:00.000Z
487,"Layout, Belagavi",2025-07-16T00:00:00.000Z,2025-07-17T00:00:00.000Z
488,"Old Town, Hubballi-Dharwad",2025-08-17T00:00:00.000Z,2025-08-18T00:00:00.000Z
489,"Old Town, Kalaburagi",2025-09-21T00:00:00.000Z,2025-09-22T00:00:00.000Z
490,"Old Town, Mandya",2025-03-02T00:00:00.000Z,2025-03-03T00:00:00.000Z
491,"NH-Bypass, Tumakuru",2026-02-16T00:00:00.000Z,2026-02-17T00:00:00.000Z
492,"Market Rd, Mandya",2026-01-30T00:00:00.000Z,2026-01-31T00:00:00.000Z
493,"Market Rd, Tumakuru",2026-02-24T00:00:00.000Z,2026-02-25T00:00:00.000Z
494,"Layout, Kalaburagi",2025-09-01T00:00:00.000Z,2025-09-02T00:00:00.000Z
495,"Market Rd, Mandya",2025-04-14T00:00:00.000Z,2025-04-15T00:00:00.000Z
496,"Market Rd, Udupi",2026-01-21T00:00:00.000Z,2026-01-22T00:00:00.000Z
497,"Market Rd, Vijayapura",2025-08-31T00:00:00.000Z,2025-09-01T00:00:00.000Z
498,"Bus Stand, Belagavi",2025-10-25T00:00:00.000Z,2025-10-26T00:00:00.000Z
499,"Old Town, Belagavi",2026-02-15T00:00:00.000Z,2026-02-16T00:00:00.000Z
500,"Old Town, Ballari",2026-04-22T00:00:00.000Z,2026-04-23T00:00:00.000Z
